"","well_name","a_mean","a_sd","acer_mean","acer_sd","aacer_ratio","sd_warning","ct_warning","rep"
"75","3",35.57,0.0424264068711945,24.26,0.00707106781186658,0.000043763116277242,NA,NA,NA
"76","30",34.685,0.403050865276332,24.69,0.0353553390593279,0.00010888365326709,NA,NA,NA
"77","31",33.34,0.0141421356237332,24.455,0.296984848098349,0.000235020626199202,NA,NA,NA
"78","32",33.465,0.445477272147527,23.955,0.0848528137423864,0.000152392022106987,NA,NA,NA
"79","32-JD",24.31,0.0989949493661171,26.25,0.162634559672906,0.426339608589007,NA,NA,NA
"80","33",34.375,0.162634559672909,24.445,0.0141421356237306,0.000113901549872295,NA,NA,NA
"81","34-JD",22.88,0.0141421356237306,24.475,0.0424264068711919,0.335660574569516,NA,NA,NA
"82","36",33.655,0.0494974746830585,24.62,0.0212132034355947,0.000211812448085118,NA,NA,NA
"83","37",24.54,0.0424264068711919,24.875,0.226274169979695,0.140153045425694,NA,NA,NA
"84","38",34.205,0.0353553390593254,24.335,0.197989898732234,0.000118738465848605,NA,NA,NA
"85","39",22,0.113137084989845,26.76,0.67175144212722,3.0106499995112,NA,NA,NA
"86","4",24.445,0.106066017177981,24.365,0.0282842712474613,0.105117516302844,NA,NA,NA
"87","40",24.81,0.0565685424949251,24.4,0.134350288425445,0.0836248193006146,NA,NA,NA
"88","42",23.825,0.0636396103067892,24.28,0.00707106781186658,0.1523092005533,NA,NA,NA
"89","43",23.78,0.282842712474621,24.58,0.0212132034355947,0.193455680732472,NA,NA,NA
"90","44",25.09,0,25.075,0.0141421356237306,0.109961850712801,NA,NA,NA
"91","45",26.62,0.452548339959391,24.835,0.0424264068711919,0.0322417753995478,NA,NA,NA
"92","46",21.405,0.601040764008564,26.13,0.0919238815542505,2.93849002010387,NA,NA,NA
"93","47",24.55,0.282842712474618,24.755,0.212132034355965,0.12807626075543,NA,NA,NA
"94","48",23.955,0.0353553390593279,20.81,2.1708178182427,0.0125608246883484,"host*",NA,NA
"95","49",24.065,0.0353553390593279,25.345,0.0141421356237306,0.269821085421122,NA,NA,NA
"96","50",25.21,0.0565685424949226,24.57,0.00707106781186407,0.0713014387534947,NA,NA,NA
"97","51",24.395,0.0777817459305198,24.355,0.212132034355965,0.108072771934698,NA,NA,NA
"98","52",24.645,0.162634559672906,25.16,0.0636396103067892,0.158777126637899,NA,NA,NA
"99","53",24.21,0.0565685424949226,24.995,0.0424264068711919,0.191454702158226,NA,NA,NA
"100","54",24.775,0.120208152801712,27.075,0.226274169979695,0.547175294819963,NA,NA,NA
"101","55",23.54,0.141421356237309,25,0.00707106781186407,0.30567595958661,NA,NA,NA
"102","56",24.175,0.275771644662754,24.635,0.141421356237309,0.152837979793305,NA,NA,NA
