"","site","timepoint","genotype","array","tag_number","number_branches","sa","volume","tle","sav","breakage","growth","initial_tle","initial_sa","initial_vol","initial_sav"
"92","Looe","3","50","5","43",10,105.853546,27.302933,33.771643,3.87700273813073,0,18.161652,9.033994,27.3280115780706,5.87915590202308,4.64828829741813
"93","Looe","3","62","5","44",12,133.509644,40.202798,42.333355,3.32090428133883,0,14.385007,9.342276,31.8537681010494,7.8034732864261,4.08199873721078
"94","Looe","3","36","5","45",8,62.575073,17.147867,23.756654,3.64914615911122,0,5.172326,10.082263,36.2926848018791,9.56812106969615,3.79308377658641
"95","Looe","3","7","5","46",4,40.935078,12.50001,10.587502,3.2748036201571,1,NA,7.42228,24.9312323133794,6.11365235646358,4.07796041706905
"96","Looe","3","13","5","47",6,47.589409,12.836483,17.189669,3.70735574533928,0,6.773995,7.899937,23.6974944704524,5.14571875691691,4.60528365227852
"97","Looe","3","1","5","48",12,77.171249,20.92617,26.898161,3.68778658493169,0,12.180828,7.014389,18.593882478713,3.64450657578081,5.1018929701696
"98","Looe","3","41","5","49",7,70.38485,17.946483,24.009566,3.92192999597748,0,6.145105,9.559787,27.2416280566496,5.67828564540873,4.79750927618026
"99","Looe","3","3","5","50",5,47.374401,12.693063,15.579897,3.73230645747209,0,1.031672,7.707844,20.7692846624078,4.14091045031751,5.01563241021435
"100","Looe","3","50","6","51",15,106.727562,28.684597,32.494513,3.7207272599995,0,NA,8.177941,24.7855203955821,5.37328551239091,4.61273095174752
"101","Looe","3","41","6","52",10,80.138466,17.965287,30.029757,4.46073953619555,0,10.60504,8.233462,19.0842916892436,3.26581485853648,5.84365388606134
"102","Looe","3","13","6","53",14,116.258614,30.795101,40.043163,3.77523080700401,0,14.621605,8.024495,23.8971180537356,5.28983647593163,4.51755326699903
"103","Looe","3","62","6","54",7,123.36644,37.231428,32.624599,3.31350277512858,0,NA,8.983609,34.3041970621696,8.6190161215114,3.98005950778453
"104","Looe","3","44","6","55",11,67.523178,19.042744,22.042095,3.54587437608782,0,9.955532,10.572797,30.6457253044563,5.9915776937593,5.1148006202734
"105","Looe","3","7","6","56",4,38.23521,10.81519,12.924893,3.53532485328506,0,2.589873,6.512749,21.8217135451146,5.02342508338408,4.34399103856332
