"","site","genotype","array","tag_number","T0","timepoint","growth","number_branches","sa","volume","tle","sav"
"435","Daves","36","12","118",NA,"T0",NA,0,25.2819778429058,5.62479525434043,8.524968,4.49473744371348
"436","Daves","50","12","119",NA,"T0",NA,0,20.2484216960386,4.03210971525232,7.416405,5.02179333549497
"437","Daves","1","13","128",NA,"T0",NA,0,29.4044354529619,6.6699316936951,8.849915,4.40850623414285
"438","Daves","36","13","122",NA,"T0",NA,0,32.5235251449308,8.38453303344351,8.965698,3.87899063850112
"439","Daves","31","13","130",NA,"T0",NA,0,32.8587360786967,8.04908212594432,9.212535,4.0822960387973
"440","Daves","13","13","127",NA,"T0",NA,0,20.9653787519652,3.92822678526929,7.696587,5.33711007485226
"441","Daves","41","13","124",NA,"T0",NA,0,24.2310419226689,4.70079960046724,8.562816,5.15466388319562
"442","Daves","7","13","121",NA,"T0",NA,0,21.6401670574162,4.81357589747307,6.83135,4.49565302767458
"443","Daves","44","13","125",NA,"T0",NA,0,24.4596047853133,4.82673074662361,9.037957,5.06753039879492
"444","Daves","50","13","129",NA,"T0",NA,0,26.5509187035609,5.82834358208435,8.098215,4.55548275931696
"445","Daves","62","13","126",NA,"T0",NA,0,22.178668938838,4.65453222554993,7.480359,4.7649619476461
"446","Daves","3","13","123",NA,"T0",NA,0,24.6831283229792,5.54590563719848,8.112431,4.45069388801355
"447","Daves","31","14","139",NA,"T0",NA,0,34.2416814897365,8.18917876667028,10.415485,4.18133276429368
"448","Daves","50","14","140",NA,"T0",NA,0,22.0407306389705,4.17314577013915,8.126271,5.28156260360766
"449","Daves","41","14","135",NA,"T0",NA,0,18.4478473091233,3.40072155783912,6.942979,5.4246862012559
"450","Daves","13","14","134",NA,"T0",NA,0,23.8695935623624,5.59941405640383,7.383592,4.26287345817259
"451","Daves","36","14","138",NA,"T0",NA,0,28.9114190143943,6.76355873127702,7.994432,4.27458682079568
"452","Daves","3","14","137",NA,"T0",NA,0,25.6897789503459,5.80487139696265,8.584842,4.42555522656158
"453","Daves","7","14","136",NA,"T0",NA,0,29.7453086864906,8.29250208455692,7.428431,3.58701250638033
"454","Daves","44","14","131",NA,"T0",NA,0,30.2799514343061,6.93785997954558,9.347461,4.36445121746165
"455","Daves","7","15","141",NA,"T0",NA,0,33.9983081005932,9.97207316385474,8.732853,3.40935205167017
"456","Daves","13","15","147",NA,"T0",NA,0,22.537253906638,4.22018137294632,8.219241,5.34035196949452
"457","Daves","3","15","149",NA,"T0",NA,0,23.9692149243237,5.29347834748937,7.706176,4.5280651682824
"458","Daves","1","15","146",NA,"T0",NA,0,20.4771100944572,3.95038997452432,7.809601,5.18356674316006
"459","Daves","44","15","142",NA,"T0",NA,0,23.2313508904795,5.45903975390716,7.057614,4.25557459512037
"460","Daves","36","15","150",NA,"T0",NA,0,21.3513184518196,4.84434929323878,7.11911,4.40746881766339
"461","Daves","41","15","148",NA,"T0",NA,0,21.6780972972862,3.78611635611142,8.417048,5.72568174305952
"462","Daves","62","15","144",NA,"T0",NA,0,31.8474125062054,28.1708046864491,9.593583,1.13051128147308
"463","Daves","50","15","145",NA,"T0",NA,0,23.8861836264173,4.20394166209065,7.516004,5.68185420882803
"464","Daves","3","16","153",NA,"T0",NA,0,37.5825130982806,9.77513165820056,10.190786,3.84470658937385
"465","Daves","62","16","159",NA,"T0",NA,0,28.2848362501099,6.63774255767722,8.553196,4.2612132067996
"466","Daves","1","16","152",NA,"T0",NA,0,18.2262485448389,3.46126175171988,7.226232,5.26578162884746
"467","Daves","44","16","156",NA,"T0",NA,1,43.8089842751163,11.4986498227557,10.789007,3.80992420418082
"468","Daves","41","16","155",NA,"T0",NA,0,19.5709216072948,3.63517784542585,7.17699,5.38375904549511
"469","Daves","13","16","151",NA,"T0",NA,0,20.0336145147729,3.68606727532241,7.271248,5.43495628766585
"470","Daves","31","16","157",NA,"T0",NA,0,26.0785152143275,5.36824648191581,8.172715,4.85792060818725
"471","Daves","36","16","158",NA,"T0",NA,0,33.98749352478,8.49412230277186,8.523751,4.00129552098502
"472","Daves","62","17","169",NA,"T0",NA,0,27.504534690598,6.83732614844756,7.863658,4.0227033336479
"473","Daves","36","17","168",NA,"T0",NA,0,30.5791083671139,7.37787616338586,9.085603,4.14470339294506
"474","Daves","41","17","164",NA,"T0",NA,0,25.2655222519387,5.38210737413127,8.328667,4.6943549237564
"475","Daves","1","17","162",NA,"T0",NA,0,24.9453534558294,5.465827456103,8.212301,4.56387503194527
"476","Daves","44","17","170",NA,"T0",NA,1,27.8429312918514,6.62555784936509,8.727191,4.20235275653348
"477","Daves","50","17","167",NA,"T0",NA,1,22.9214745539413,4.73152155248589,7.971973,4.8444193479154
"478","Daves","31","17","166",NA,"T0",NA,0,21.8192731357948,4.27125349535006,7.948332,5.10840041677428
"479","Daves","13","17","163",NA,"T0",NA,0,23.5962309895843,4.65499617552356,8.219562,5.06901189600448
"480","Daves","7","17","165",NA,"T0",NA,0,31.2131074590415,8.18283684670314,8.608008,3.814460442483
"481","Daves","41","18","173",NA,"T0",NA,0,22.4864240301142,4.54077441733744,7.699077,4.95211212084381
"482","Daves","3","18","175",NA,"T0",NA,0,28.9306519772093,7.49823266654212,8.098509,3.85832945759349
"483","Daves","50","18","176",NA,"T0",NA,0,25.0260022927802,5.61127625077701,7.948463,4.4599483565463
"484","Daves","62","18","178",NA,"T0",NA,0,23.2986946011511,5.13196235817193,7.560893,4.53991923071128
"485","Daves","36","18","174",NA,"T0",NA,0,31.2688219745909,7.98593482498237,8.970528,3.91548674762193
"486","Daves","31","18","172",NA,"T0",NA,0,28.8263309952607,5.84170761856998,9.350462,4.93457271014827
"487","Daves","44","18","180",NA,"T0",NA,0,19.4630208722917,3.99993334356,7.023495,4.86583630290432
"488","Daves","1","19","185",NA,"T0",NA,0,22.9000814757767,5.08791348003416,7.847682,4.50087871298136
"489","Daves","3","19","186",NA,"T0",NA,0,20.6794887369666,4.23195089326332,7.487703,4.88651434256608
"490","Daves","7","19","189",NA,"T0",NA,0,19.6128339151408,4.02492373675144,6.692168,4.87284609545683
"491","Daves","13","19","190",NA,"T0",NA,0,18.8884416264408,3.39980486466943,7.277697,5.5557428671064
"492","Daves","50","19","188",NA,"T0",NA,0,26.9033163418588,5.94923779828174,8.2502,4.52214506362967
"493","Daves","31","19","182",NA,"T0",NA,0,32.6167345227096,7.55497240912098,10.151221,4.31725395625958
"494","Daves","36","19","184",NA,"T0",NA,0,30.9334308256169,7.91730065484616,8.847122,3.90706784725708
"495","Daves","62","19","181",NA,"T0",NA,0,25.8293458470191,5.69171717381186,8.396349,4.53805856093173
"496","Daves","41","19","183",NA,"T0",NA,0,21.9213138242854,4.75817411995842,7.021056,4.60708525405475
"497","Daves","7","20","200",NA,"T0",NA,0,24.4970518937503,6.02454902033764,7.380193,4.06620509038159
"498","Daves","50","20","198",NA,"T0",NA,0,30.2203986517411,6.69552880656428,9.018113,4.51351932383789
"499","Daves","13","20","199",NA,"T0",NA,0,29.8078440649043,6.27761672700754,9.327672,4.74827396465049
"500","Daves","31","20","192",NA,"T0",NA,0,26.3576748793754,5.61612385585564,8.828995,4.69321467187617
"501","Daves","1","20","193",NA,"T0",NA,0,18.8208496480611,4.02519524086114,6.505289,4.67576068286183
"502","Daves","36","20","191",NA,"T0",NA,0,36.6995637165455,8.68182760827427,10.568982,4.22717028861167
"503","Daves","3","20","197",NA,"T0",NA,0,23.8231757614086,4.70490178290754,8.128202,5.06347993234543
"504","Looe","1","1","7",NA,"T0",NA,0,16.6182386777574,3.60207149470096,6.418923,4.61352271941427
"505","Looe","3","1","10",NA,"T0",NA,0,16.3260820684867,3.43354609683336,6.081557,4.75487487514546
"506","Looe","36","1","9",NA,"T0",NA,0,39.5794758223108,11.2781195691377,8.978914,3.50940381325794
"507","Looe","44","1","8",NA,"T0",NA,0,32.9305879262389,7.89758823205133,9.755547,4.16970180752074
"508","Looe","41","2","15",NA,"T0",NA,0,26.6698742420169,5.90036201803937,8.723368,4.52004032303072
"509","Looe","50","2","14",NA,"T0",NA,0,28.2963066681588,5.74704857481806,8.623048,4.92362406542817
"510","Looe","7","2","18",NA,"T0",NA,0,36.1738853884279,11.3541404165822,8.401778,3.18596424398605
"511","Looe","36","2","19",NA,"T0",NA,0,42.2135108036163,9.45777240418876,10.431457,4.46336716507582
"512","Looe","3","2","17",NA,"T0",NA,0,25.1183676880221,5.11935164940668,8.186712,4.9065525105964
"513","Looe","31","2","13",NA,"T0",NA,0,23.0373037969593,5.34791981492587,7.499077,4.30771301631393
"514","Looe","31","3","27",NA,"T0",NA,0,20.0935818718479,3.87412373621288,7.555062,5.18661334536779
"515","Looe","3","3","21",NA,"T0",NA,0,25.6769660573586,6.6013738472966,7.282414,3.88963974035099
"516","Looe","50","3","24",NA,"T0",NA,0,27.1686084319059,6.38178125765401,8.571006,4.257213986976
"517","Looe","13","3","22",NA,"T0",NA,0,17.7303846858281,3.70331688577662,6.342104,4.78770389699176
"518","Looe","1","3","29",NA,"T0",NA,0,20.569193177109,4.44066274941443,7.14955,4.63200975571076
"519","Looe","36","3","30",NA,"T0",NA,0,32.3393480998902,7.59521854725886,10.165267,4.2578561628831
"520","Looe","62","4","36",NA,"T0",NA,0,31.2221568016546,7.88735549819184,9.054286,3.95850761498099
"521","Looe","13","4","33",NA,"T0",NA,0,22.392336073995,5.0183452391533,7.309912,4.46209557271772
"522","Looe","44","4","34",NA,"T0",NA,0,29.2589753717227,6.96643615279759,8.729765,4.19999189398626
"523","Looe","36","4","35",NA,"T0",NA,0,26.0720226175571,5.65220144785539,8.733731,4.61271999203949
"524","Looe","1","4","40",NA,"T0",NA,0,26.2306148438811,5.69472068566005,8.239419,4.60612842872746
"525","Looe","41","4","31",NA,"T0",NA,0,25.7426814630113,4.79130486548354,9.481329,5.37279137640792
"526","Looe","50","4","32",NA,"T0",NA,0,24.7531848746972,4.95485645250385,8.316473,4.99574207890294
"527","Looe","31","5","41",NA,"T0",NA,0,20.2922105099042,3.88074492938708,8.032514,5.22894724573129
"528","Looe","3","5","50",NA,"T0",NA,0,20.7692846624078,4.14091045031751,7.707844,5.01563241021435
"529","Looe","62","5","44",NA,"T0",NA,0,31.8537681010494,7.8034732864261,9.342276,4.08199873721078
"530","Looe","1","5","48",NA,"T0",NA,0,18.593882478713,3.64450657578081,7.014389,5.1018929701696
"531","Looe","7","5","46",NA,"T0",NA,0,24.9312323133794,6.11365235646358,7.42228,4.07796041706905
"532","Looe","50","5","43",NA,"T0",NA,0,27.3280115780706,5.87915590202308,9.033994,4.64828829741813
"533","Looe","44","5","42",NA,"T0",NA,0,30.8752489841031,7.31096867084583,9.608008,4.22314064991487
"534","Looe","13","5","47",NA,"T0",NA,0,23.6974944704524,5.14571875691691,7.899937,4.60528365227852
"535","Looe","36","5","45",NA,"T0",NA,0,36.2926848018791,9.56812106969615,10.082263,3.79308377658641
"536","Looe","41","5","49",NA,"T0",NA,0,27.2416280566496,5.67828564540873,9.559787,4.79750927618026
"537","Looe","41","6","52",NA,"T0",NA,0,19.0842916892436,3.26581485853648,8.233462,5.84365388606134
"538","Looe","7","6","56",NA,"T0",NA,0,21.8217135451146,5.02342508338408,6.512749,4.34399103856332
"539","Looe","3","6","59",NA,"T0",NA,0,17.1033685617693,3.09149339758149,6.706171,5.53239692348993
"540","Looe","50","6","51",NA,"T0",NA,0,24.7855203955821,5.37328551239091,8.177941,4.61273095174752
"541","Looe","13","6","53",NA,"T0",NA,0,23.8971180537356,5.28983647593163,8.024495,4.51755326699903
"542","Looe","1","6","60",NA,"T0",NA,0,23.8331729613347,5.31921476250637,7.806027,4.48058106796664
"543","Looe","36","6","57",NA,"T0",NA,0,34.5572948165268,7.99713843643761,10.124927,4.32120752831692
"544","Looe","31","6","58",NA,"T0",NA,0,24.654536659679,5.22683057775462,7.813678,4.71691903782162
"545","Looe","44","6","55",NA,"T0",NA,0,30.6457253044563,5.9915776937593,10.572797,5.1148006202734
"546","Looe","62","6","54",NA,"T0",NA,0,34.3041970621696,8.6190161215114,8.983609,3.98005950778453
"547","Looe","7","7","66",NA,"T0",NA,0,20.7261991003516,4.95306054077341,6.701969,4.18452367576256
"548","Looe","50","7","63",NA,"T0",NA,0,26.6654064621283,5.73155532654171,8.363528,4.65238577365659
"549","Looe","3","7","69",NA,"T0",NA,0,23.7029672870463,5.1338940831419,8.235332,4.61695681741456
"550","Looe","1","7","64",NA,"T0",NA,0,21.3633449160519,5.08744079477169,6.846406,4.19923214399013
"551","Looe","44","7","61",NA,"T0",NA,0,29.7395498165956,6.85263675989234,8.805228,4.3398695799342
"552","Looe","41","7","68",NA,"T0",NA,0,26.8170960078179,5.96030737984449,8.512565,4.49928070798886
"553","Looe","13","7","62",NA,"T0",NA,0,20.6740965276247,4.59931599018905,6.775881,4.49503721243012
"554","Looe","36","7","65",NA,"T0",NA,0,33.4471561033456,8.01818756369733,9.416637,4.17141103742434
"555","Looe","41","8","80",NA,"T0",NA,0,29.6506949699016,6.11702777683772,9.64374,4.84723889634353
"556","Looe","31","8","75",NA,"T0",NA,0,21.8304954994045,4.88924590251976,6.482586,4.46500256576454
"557","Looe","62","8","73",NA,"T0",NA,0,27.5717484947439,6.13091785126947,8.89148,4.4971648884571
"558","Looe","36","8","77",NA,"T0",NA,0,37.2193708291076,8.47005249965238,9.617987,4.39423142071848
"559","Looe","7","9","89",NA,"T0",NA,0,23.9297130936483,5.92263407586855,6.904873,4.04038351637299
"560","Looe","41","9","90",NA,"T0",NA,0,28.945737730506,5.8352315965764,9.866615,4.96051223527937
